PERMNO,date,TICKER,COMNAM,PRC,RET,vwretd,sprtrn
84788,20100930,AMZN,AMAZON COM INC,157.06000,0.258191,0.091668,0.087551
84788,20101029,AMZN,AMAZON COM INC,165.23000,0.052018,0.038606,0.036856
84788,20101130,AMZN,AMAZON COM INC,175.39999,0.061551,0.005121,-0.002290
84788,20101231,AMZN,AMAZON COM INC,180.00000,0.026226,0.067213,0.065300
84788,20110131,AMZN,AMAZON COM INC,169.64000,-0.057556,0.019190,0.022646
84788,20110228,AMZN,AMAZON COM INC,173.28999,0.021516,0.038168,0.031957
84788,20110331,AMZN,AMAZON COM INC,180.13000,0.039471,0.003343,-0.001047
84788,20110429,AMZN,AMAZON COM INC,195.81000,0.087048,0.028602,0.028495
84788,20110531,AMZN,AMAZON COM INC,196.69000,0.004494,-0.014957,-0.013501
84788,20110630,AMZN,AMAZON COM INC,204.49001,0.039656,-0.018453,-0.018258
84788,20110729,AMZN,AMAZON COM INC,222.52000,0.088171,-0.022550,-0.021474
84788,20110831,AMZN,AMAZON COM INC,215.23000,-0.032761,-0.057597,-0.056791
84788,20110930,AMZN,AMAZON COM INC,216.23000,0.004646,-0.085030,-0.071762
84788,20111031,AMZN,AMAZON COM INC,213.50999,-0.012579,0.114215,0.107723
84788,20111130,AMZN,AMAZON COM INC,192.28999,-0.099386,-0.006273,-0.005059
84788,20111230,AMZN,AMAZON COM INC,173.10001,-0.099797,0.003671,0.008533
84788,20120131,AMZN,AMAZON COM INC,194.44000,0.123281,0.054140,0.043583
84788,20120229,AMZN,AMAZON COM INC,179.69000,-0.075859,0.041253,0.040589
84788,20120330,AMZN,AMAZON COM INC,202.50999,0.126996,0.024039,0.031332
84788,20120430,AMZN,AMAZON COM INC,231.89999,0.145129,-0.006840,-0.007497
84788,20120531,AMZN,AMAZON COM INC,212.91000,-0.081889,-0.065641,-0.062651
84788,20120629,AMZN,AMAZON COM INC,228.35001,0.072519,0.038181,0.039555
84788,20120731,AMZN,AMAZON COM INC,233.30000,0.021677,0.010306,0.012598
84788,20120831,AMZN,AMAZON COM INC,248.27000,0.064166,0.026336,0.019763
84788,20120928,AMZN,AMAZON COM INC,254.32001,0.024369,0.026532,0.024236
84788,20121031,AMZN,AMAZON COM INC,232.89310,-0.084252,-0.014064,-0.019789
84788,20121130,AMZN,AMAZON COM INC,252.05000,0.082256,0.006219,0.002847
84788,20121231,AMZN,AMAZON COM INC,250.87000,-0.004682,0.012580,0.007068
84788,20130131,AMZN,AMAZON COM INC,265.50000,0.058317,0.054189,0.050428
84788,20130228,AMZN,AMAZON COM INC,264.26999,-0.004633,0.008284,0.011061
84788,20130328,AMZN,AMAZON COM INC,266.48999,0.008401,0.035320,0.035988
84788,20130430,AMZN,AMAZON COM INC,253.81000,-0.047581,0.014942,0.018086
84788,20130531,AMZN,AMAZON COM INC,269.20001,0.060636,0.019155,0.020763
84788,20130628,AMZN,AMAZON COM INC,277.69000,0.031538,-0.015071,-0.014999
84788,20130731,AMZN,AMAZON COM INC,301.22000,0.084735,0.052690,0.049462
84788,20130830,AMZN,AMAZON COM INC,280.98001,-0.067193,-0.025761,-0.031298
84788,20130930,AMZN,AMAZON COM INC,312.64001,0.112677,0.037514,0.029749
84788,20131031,AMZN,AMAZON COM INC,364.03000,0.164374,0.039908,0.044596
84788,20131129,AMZN,AMAZON COM INC,393.62000,0.081285,0.024973,0.028049
84788,20131231,AMZN,AMAZON COM INC,398.79001,0.013135,0.026159,0.023563
84788,20140131,AMZN,AMAZON COM INC,358.69000,-0.100554,-0.030047,-0.035583
84788,20140228,AMZN,AMAZON COM INC,362.10001,0.009507,0.046225,0.043117
84788,20140331,AMZN,AMAZON COM INC,336.36499,-0.071072,0.004544,0.006932
84788,20140430,AMZN,AMAZON COM INC,304.13000,-0.095833,0.001569,0.006201
84788,20140530,AMZN,AMAZON COM INC,312.54999,0.027685,0.020260,0.021030
84788,20140630,AMZN,AMAZON COM INC,324.78000,0.039130,0.027991,0.019058
84788,20140731,AMZN,AMAZON COM INC,312.98999,-0.036302,-0.020567,-0.015080
84788,20140829,AMZN,AMAZON COM INC,339.04001,0.083230,0.040225,0.037655
